IP; Estado; Puerto 445; Puerto 3389
10.81.181.64;No Vulnerable;open;Not Scanned
172.28.41.40;No Vulnerable;open;Not Scanned
192.168.9.68;No Vulnerable;open;Not Scanned
192.168.12.82;No Vulnerable;open;Not Scanned
192.168.22.45;No Vulnerable;open;Not Scanned
192.168.85.58;No Vulnerable;open;Not Scanned
192.168.212.107;No Vulnerable;open;Not Scanned
192.168.184.21;No Vulnerable;open;Not Scanned
172.28.41.184;No Vulnerable;open;Not Scanned
172.28.41.178;No Vulnerable;open;Not Scanned
192.168.16.104;No Vulnerable;open;Not Scanned
172.28.72.217;No Vulnerable;open;Not Scanned
172.28.18.129;Vulnerable;open;Not Scanned
192.168.41.90;No Vulnerable;open;Not Scanned
172.28.18.183;No Vulnerable;open;Not Scanned
192.168.85.72;No Vulnerable;open;Not Scanned
192.168.184.77;No Vulnerable;open;Not Scanned
172.28.18.170;No Vulnerable;open;Not Scanned
192.168.85.33;No Vulnerable;open;Not Scanned
192.168.167.64;No Vulnerable;open;Not Scanned
172.28.18.85;No Vulnerable;open;Not Scanned
172.28.18.58;No Vulnerable;open;Not Scanned
192.168.180.44;No Vulnerable;open;Not Scanned
172.28.129.134;No Vulnerable;open;Not Scanned
172.28.171.214;Vulnerable;open;Not Scanned
192.168.57.24;No Vulnerable;open;Not Scanned
172.28.37.165;No Vulnerable;open;Not Scanned
192.168.16.207;No Vulnerable;open;Not Scanned
192.168.53.67;No Vulnerable;open;Not Scanned
172.28.41.67;No Vulnerable;open;Not Scanned
192.168.53.82;No Vulnerable;open;Not Scanned
192.168.22.177;No Vulnerable;open;Not Scanned
172.28.171.202;No Vulnerable;open;Not Scanned
192.168.167.183;No Vulnerable;open;Not Scanned
192.168.22.46;No Vulnerable;open;Not Scanned
192.168.6.150;No Vulnerable;open;Not Scanned
172.28.171.130;No Vulnerable;open;Not Scanned
172.28.171.155;No Vulnerable;open;Not Scanned
192.168.26.193;No Vulnerable;open;Not Scanned
172.28.130.133;No Vulnerable;open;Not Scanned
172.28.171.207;No Vulnerable;open;Not Scanned
172.28.122.192;No Vulnerable;open;Not Scanned
172.28.41.43;No Vulnerable;open;Not Scanned
10.81.181.66;No Vulnerable;open;Not Scanned
192.168.14.60;No Vulnerable;open;Not Scanned
192.168.146.56;No Vulnerable;open;Not Scanned
172.28.171.109;No Vulnerable;open;Not Scanned
10.81.181.69;No Vulnerable;open;Not Scanned
172.28.18.161;No Vulnerable;open;Not Scanned
172.28.141.199;No Vulnerable;open;Not Scanned
192.168.18.53;No Vulnerable;open;Not Scanned
192.168.167.200;No Vulnerable;open;Not Scanned
172.28.18.213;No Vulnerable;open;Not Scanned
172.28.41.218;No Vulnerable;open;Not Scanned
192.168.53.163;No Vulnerable;open;Not Scanned
172.28.171.235;No Vulnerable;open;Not Scanned
172.28.142.198;No Vulnerable;open;Not Scanned
192.168.40.94;No Vulnerable;open;Not Scanned
10.81.181.45;No Vulnerable;open;Not Scanned
192.168.146.203;No Vulnerable;open;Not Scanned
172.28.18.125;Vulnerable;open;Not Scanned
192.168.16.192;Vulnerable;open;Not Scanned
172.28.100.85;No Vulnerable;open;Not Scanned
172.28.122.96;No Vulnerable;open;Not Scanned
